eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,AU-ID,Full Name,First Name,Last Name,Tenure,Position,Department,ORCID,EID,Journal,ISSN,Rank,Category,Secondary Category,academic_year
2-s2.0-85165925514,10.2308/ISYS-2022-025,,,Publishing the Data from “The Effects of Communication Mode and Culture on Deception Detection Accuracy”,ar,Article,George J.F.,60135978;60122601;60116591;60020585;113673403,Ohio University College of Business;Florida International University College of Business;Debbie and Jerry Ivy College of Business;University of Canterbury;Alabama College of Osteopathic Medicine,Athens;Miami;Ames;Christchurch;Dothan,United States;United States;United States;New Zealand;United States,6,"George, Joey F.;Gupta, Manjul;Giordano, Gabriel;Mills, Annette;Tennant, Vanesa;Lewis, Carmen",7403558296;57209554503;8890996200;15741523600;23096173600;24376629400,60116591;60122601;60135978;60020585;;113673403,2023-06-01,Summer 2023,Journal of Information Systems,08887985,15688,15587959,Journal,37,2,,129-136,"With the publication of this article, we are making available the dataset collected for and analyzed in our 2018 MIS Quarterly article “The Effects of Communication Mode and Culture on Deception Detection Accuracy.” Our article examined the relationships between computer-based modes of communication and national culture on deception detection success. We provide additional information about the dataset and how it was collected, as well as suggestions for future research. This additional information should help any scholar interested in further analysis of the dataset or extending our study.",computer-mediated communication | culture | deceptive communication,0,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Journal of Information Systems,0888-7985,Top,,,2022-2023
2-s2.0-85160245498,10.1109/TPC.2023.3263378,,,Toward a Greater Understanding of the Use of Nonverbal Cues To Deception in Computer-Mediated Communication,ar,Article,George J.F.,60020585;60015206;60011132;60004354;129811856;117009196,University of Canterbury;Florida International University;Ohio University;Iowa State University;Kingston 10;Alabama College of Osteopathic Medicine,Christchurch;Miami;Athens;Ames;Kingston;Dothan,New Zealand;United States;United States;United States;Jamaica;United States,6,"George, Joey F.;Mills, Annette M.;Giordano, Gabriel;Gupta, Manjul;Tennant, Vanesa M.;Lewis, Carmen C.",7403558296;15741523600;8890996200;57209554503;23096173600;24376629400,60004354;60020585;60011132;60015206;129811856;117009196,2023-06-01,1 June 2023,IEEE Transactions on Professional Communication,03611434,17371,15581500,Journal,66,2,,131-149,"Background: Computer-mediated communication (CMC) is an important part of work life. However, this communication can be dishonest, and when people attempt to judge dishonesty, irrespective of the cues available, they tend to rely on a few nonverbal cues that are not the most reliable. Literature review: According to leakage theory, CMC modes differ from each other in the number of cues to deception they can transmit, potentially affecting one's ability to detect deception in a given medium. There is considerable research on peoples' use of nonverbal cues across CMC modes to evaluate deception, but limited understanding of the choices they make and the extent to which their deception judgments are impaired or helped by cues they have access to for different CMC modes. Research questions: 1. To what extent are the nonverbal cues that people say they rely on to detect deception shaped by the medium that they use for communication? 2. What are the effects of nonverbal cue availability on deception detection success? Methodology: We conducted an experiment with 132 veracity judges from New Zealand and Jamaica, who observed interview segments in Spanish and Hindi (languages that they did not understand) to isolate the effects of nonverbal cues. They determined the veracity of each segment and listed the things that guided their judgment. Results/discussion: The results suggest that when certain nonverbal cues are available, such as gaze aversion, these suppress attention to more reliable cues (e.g., voice pitch) when judging deception. Redirecting attention to more reliable cues is therefore important. Unexpectedly, cue choice also varied across language by medium. Conclusions: The findings extend the understanding of people's use of nonverbal cues and the extent to which certain cues distract in the deception judgment. Although people rely on vocalic cues in audio-only media and kinesic cues in video-only media, they tend to rely mostly on, and are distracted by, a few kinesic cues for full audiovisual media, even though vocalic cues are available. We also found that people can successfully detect cues to deception, even when their communication mode is relatively bereft of useful information. However, the availability (or lack) of nonverbal cues was not a factor in deception detection success. To improve detection, deception training that targets reliable cues for different media is needed.",Computer-mediated communication (CMC) | deception detection | nonverbal cues | verbal cues,0,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,,,,,,2022-2023
2-s2.0-85090578725,10.1016/j.cose.2020.102007,S0167404820302807,,Politeness in security directives: Insights in browser compliance for the human element,ar,Article,House D.,60018988;60011132,University of Nebraska Omaha;Ohio University,Omaha;Athens,United States;United States,2,"House, Deanna;Giordano, Gabe",57204789334;8890996200,60018988;60011132,2020-12-01,December 2020,Computers and Security,01674048,28898,,Journal,99,,102007,,"The technical protection provided by information security technology is necessary as a frontline defense against threats. However, the human element adds great risk to systems and cannot be ignored. This research explores the human elements related to security communications and intention to comply with security directives. Security communications are more-commonly being sent using richer computer-based channels. While the goal of security communications is the gain compliance, there is still much to learn related to what influences a user to comply. This research explores the effects that (im)politeness has on intention to comply with security directives. The research utilized an experiment that focused on secure browser setting directives using several types of online communication. The subjects were randomly assigned to receive communications/directives that were text-based, text/image-based, or video-based. The communications were also grouped into polite and impolite messaging. The results for the overall model indicated perceived richness had a negative influence on perceived mental workload. Additionally, perceived mental workload resulted in a decreased intention to comply with security directives. There were no significant differences between polite and impolite groups for the treatment groups with text-based and text/image-based messaging. However, in the video-based treatment, the relationship between perceived richness and intention to comply with security directives was significantly different between the polite and impolite groups.",Experiment | Human element | Media richness | Mental workload | Politeness theory | Secure browser settings | Security compliance,2,0,,,,8.11/11.13,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Computers & Security,0167-4048,High Quality,Analytics,,2020-2021
2-s2.0-85053318573,10.25300/MISQ/2018/13215,,,The effects of communication media and culture on deception detection accuracy,ar,Article,George J.,60116591;60020585;60015206;60011132;60000164;121356308,Debbie and Jerry Ivy College of Business;University of Canterbury;Florida International University;Ohio University;Troy University;Independent scholar,Ames;Christchurch;Miami;Athens;Troy;Kingston,United States;New Zealand;United States;United States;United States;Jamaica,6,"George, Joey F.;Gupta, Manjul;Giordano, Gabriel;Mills, Annette M.;Tennant, Vanesa M.;Lewis, Carmen C.",7403558296;57209554503;8890996200;15741523600;23096173600;24376629400,60116591;60015206;60011132;60020585;121356308;60000164,2018-06-01,June 2018,MIS Quarterly,02767783,12402,21629730,Journal,42,2,,551-575,"As the world“gets smaller” and more people engage in cross-cultural communications, their ability to successfully separate truth from deception can be critically important. Yet it is challenging. While deceptive communication has been studied for decades, some areas are not well understood. In particular, two areas that could benefit from further research concern the effects of cultural differences and communication media on deception and its detection. Building on developments in theories of deception and its detection, we examine the question: How do differences in culture between senders and receivers affect deception detection, especially where the deceptive communication occurs across different media? To address this question, stimulus materials from recorded interviews were created featuring participants from the United States, Spain, and India. Three stimulus sets were created, one each in American English, Spanish, and Indian English, and each consisting of 32 interview snippets. Half of the snippets were honest and half were dishonest. Each snippet represented one of four media: full audio-visual, video only, audio only, and text only. Veracity judges were also recruited from the same three countries as the interview participants, to independently observe and evaluate the communication both within their culture and across other cultures. Evidence was found that different combinations of cultural and media effects affected the accuracy of deception detection.",Computer-mediated communications | Culture | Deception detection | Deceptive communication,38,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,MIS Quarterly,0276-7783,Elite,,,2017-2018
2-s2.0-85021298699,10.1016/j.chb.2017.06.021,S0747563217303928,,Beware the dark side: Cultural preferences for lying online,ar,Article,Marett K.,60116591;60015206;60011132;60001526;60000164,Debbie and Jerry Ivy College of Business;Florida International University;Ohio University;Mississippi State University;Troy University,Ames;Miami;Athens;Mississippi State;Troy,United States;United States;United States;United States;United States,5,"Marett, Kent;George, Joey F.;Lewis, Carmen C.;Gupta, Manjul;Giordano, Gabriel",8046337300;7403558296;24376629400;57209554503;8890996200,60001526;60116591;60000164;60015206;60011132,2017-10-01,October 2017,Computers in Human Behavior,07475632,19419,,Journal,75,,,834-844,"Deceptive communication is a part of everyday life, regardless of one's geographical location or method of communication. Very little research has examined the role of espoused cultural values in the preferences that individuals hold when considering to deceive others. These preferences include the relationship and the sex of the target of the deception and the modality used for committing the deception. This study features a survey of Internet users from four countries that differ in cultural values. Results indicate that more lying occurs online no matter the country, but preferences for lying differ between nationalities.",Communication modalities | Computer-mediate communication | Cultural dimensions | Deception | Gender,10,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Computers in Human Behavior,0747-5632,High Quality,,,2017-2018
2-s2.0-84938941301,10.1016/j.chb.2015.07.065,S0747563215300777,,Website credibility and deceiver credibility: Expanding Prominence-Interpretation Theory,ar,Article,George J.,60116591;60022636;60011132,Debbie and Jerry Ivy College of Business;Frostburg State University;Ohio University,Ames;Frostburg;Athens,United States;United States;United States,3,"George, Joey F.;Giordano, Gabriel;Tilley, Patti A.",7403558296;8890996200;8920502400,60116591;60011132;60022636,2016-08-13,13 August 2016,Computers in Human Behavior,07475632,19419,,Journal,54,,,83-93,"Deception is a common part of everyday discourse, and while much is known about deception and traditional face-to-face communication, relatively little is known about deception and its detection when the communication is computer-mediated. A recent meta-analysis (Bond & DePaulo, 2008) showed that the largest determinant of deception detection success in traditional non-mediated communication was the perceived credibility of the sender. Does this conclusion also hold for computer-mediated communication and deception detection? Using Prominence-Interpretation Theory (PIT; Fogg, 2003) and Interpersonal Deception Theory (IDT; Buller & Burgoon, 1996), we investigated the relationships among media, credibility and its antecedents, and deception detection. We expanded PIT using key concepts from IDT, resulting in what we call expanded PIT (EPIT). We created a model of EPIT and derived seven propositions from it. We argue that EPIT is a useful approach to investigating deception detection in a computer-mediated communication context and that it also has potential as a more general purpose theory.",Computer-mediated communication | Credibilty | Deceptive communication | Prominence-Interpretation Theory,20,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Computers in Human Behavior,0747-5632,High Quality,,,2015-2016
2-s2.0-84896465491,10.1016/j.chb.2014.02.027,S0747563214000879,,Sender credibility and deception detection,ar,Article,George J.,60116591;60022636;60011132,Debbie and Jerry Ivy College of Business;Frostburg State University;Ohio University,Ames;Frostburg;Athens,United States;United States;United States,3,"George, Joey F.;Tilley, Patti;Giordano, Gabriel",7403558296;8920502400;8890996200,60116591;60022636;60011132,2014-01-01,June 2014,Computers in Human Behavior,07475632,19419,,Journal,35,,,1-11,"Recent research has demonstrated that the most important determinant of deception detection success was the perceived credibility of the sender. If so, then what accounts for differences in perceived sender credibility, especially when communication is conducted solely via computer-mediated communication modes where sender and receiver cannot see each other? We investigated the relationships between credibility, its antecedents, deception detection success, and the generation of false alarms. We conducted an experiment involving 74 pairs of undergraduate students. We found that the perceived credibility of the sender significantly affected both detection success and false alarms, such that the less credible the sender, the better the detection and the more false alarms generated. We also found significant relationships between three of the four antecedents and credibility: participants who were trained to detect cues to deception, who were motivated to find deception, and who communicated via e-mail were more likely to perceive senders as not credible, compared to participants who were not trained, not motivated, and who communicated via VOIP. Our findings have implications for both research and practice. © 2014 Elsevier Ltd. All rights reserved.",Computer-mediated communication | Credibility | Deception detection | Deceptive communication,18,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Computers in Human Behavior,0747-5632,High Quality,,,2013-2014
2-s2.0-84887106945,10.1145/2500494,,,Media tablets for mobile learning,ar,Article,Kaganer E.,60135978;60028883,Ohio University College of Business;IESE Business School,Athens;Barcelona,United States;Spain,4,"Kaganer, Evgeny;Giordano, Gabriel A.;Brion, Sebastien;Tortoriello, Marco",22950643100;8890996200;27367536700;35560088600,60028883;60135978;60028883;60028883,2013-11-01,November 2013,Communications of the ACM,00010782,13675,15577317,Journal,56,11,,68-75,"Recent industry reports, drawing on anecdotal evidence and casual case studies, point to anticipated benefits from tablet-enabled mobile-learning initiatives, including making learning more personalized and continuous, increasing its relevance by providing timely access to context-specific information, and helping learners maintain a sense of community and collaboration. A significant number of mobile learning studies have been carried out in higher education, including several set up as research studies aimed at understanding the effects of mobile tablets on learning, tablet usability and adoption patterns, and best practices for tablet deployment and implementation. The EMBA program is based on the case-study method, where learning takes place through discussion and students are required to prepare case analyses before class.",,21,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Communications of the ACM,0001-0782,Top,,,2013-2014
2-s2.0-84883231224,10.1109/TPC.2013.2273817,,,The effects of task complexity and group member experience on computer-mediated groups facing deception,ar,Article,Giordano G.,60135978;60004354,Ohio University College of Business;Iowa State University,Athens;Ames,United States;United States,2,"Giordano, Gabriel;George, Joey F.",8890996200;7403558296,60135978;60004354,2013-01-01,2013,IEEE Transactions on Professional Communication,03611434,17371,,Journal,56,3,6576241,210-225,"Research problem: Due to globalization and the increased availability of online collaboration tools, individuals are now likely to work together in settings where computers are their primary mode of communication. However, because communication characteristics are different in virtual team settings, especially when they are text based, communication problems, such as deception, arise. Recent research found that deceptive individuals in virtual teams can have a negative impact on group task performance, and it recognized that in addition to the communication medium, task and group characteristics, such as task complexity and group member experience, are important influences in these settings. However, the impacts of these additional influences have not been empirically examined. Research question: Does group members' experience with each other and task complexity affect their deception detection accuracy and task performance in a computer-mediated communication setting? Literature review: Previous literature has shown that deceivers are an important influence on computer-mediated groups. However, few studies have compared different group settings, and no studies have empirically tested the impact that task and group characteristics, such as task complexity and group member experience, have on these types of groups. Methodology: An experiment was designed to test the effect of group member experience and task complexity on computer-mediated groups facing deception. Two-hundred fifty-six undergraduates (256) were selected for the experiment. Results and conclusions: Quantitative analysis, which included multivariate analysis of variance, revealed that (a) groups performing a low-complexity task were better at detecting deception than were groups performing a high-complexity task, (b) groups with members who had experience with each other had higher task performance than did inexperienced groups, and (c) experienced groups did not have higher accuracy in detecting deception than did inexperienced groups. These results highlight the importance of understanding the different affects that task complexity and group member experience have on virtual teams facing deception, and they provide insight into what practices can help minimize the impact of interactive computer-mediated deception. © 1988-2012 IEEE.",Deception detection | group member experience | instant messaging | media synchronicity | task complexity,10,0,,,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,,,,,,2012-2013
2-s2.0-79951840670,10.1111/j.1559-1816.2010.00712.x,,,Reviewers and the Detection of Deceptive Information in Recorded Interviews,ar,Article,Giordano G.,60028883;60002092;60001526,IESE Business School;Florida State University;Mississippi State University,Barcelona;Tallahassee;Mississippi State,Spain;United States;United States,4,"Giordano, Gabriel;George, Joey;Marett, Kent;Keane, Brian",8890996200;7403558296;8046337300;55182999800,60028883;60002092;60001526;60002092,2011-02-01,February 2011,Journal of Applied Social Psychology,00219029,15390,15591816,Journal,41,2,,252-269,"Being able to detect deceptive information early is worthwhile for recruiters and other information-based organizational workers; unfortunately, people generally are not good at detecting deception successfully. We conducted an experiment to determine how successful reviewers can be at detecting deception in several types of dispersed interviews. The results indicated that reviewers were more accurate at detecting deceptive information than were participant interviewers; that a warning about deception's presence improved reviewers' detection accuracy; and that a warning did not have any effect on reviewers' number of false alarms between text and audio media. These findings imply that if reviewers are warned about the possible presence of deception, organizations might be able to minimize the chance of hiring high-risk job applicants. © 2011 Wiley Periodicals, Inc.",,5,1,publisherfree2read,Bronze,,undefined,,8890996200,Gabriel Giordano,Gabriel,Giordano,Tenure,Professor,Analytics and Information Systems Faculty,,8890996200,Journal of Applied Social Psychology,0021-9029,High Quality,,,2010-2011
