Journal,ISSN,Rank,Category,Secondary Category
Applied Soft Computing,1568-4946,Top,Analytics,
IEEE Transactions on Cybernetics,2168-2267,Top,Analytics,
IEEE Transactions on Evolutionary Computation,1089-778X,Top,Analytics,
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",2168-2216,Top,Analytics,
Information Sciences,0020-0255,Top,Analytics,
International Journal of Forecasting,0169-2070,Top,Analytics,
Transportation Research Part E: Logistics and Transportation Review,1366-5545,Top,Analytics,
4OR: A Quarterly Journal of Operations Research,1619-4500,High Quality,Analytics,
Applied Intelligence,0924-669X,High Quality,Analytics,
Business & Information Systems Engineering,2363-7005,High Quality,Analytics,
Computers & Security,0167-4048,High Quality,Analytics,
Computers in Industry,0166-3615,High Quality,Analytics,
Health Care Management Science,1386-9620,High Quality,Analytics,
Journal of Forecasting,0277-6693,High Quality,Analytics,
Journal of Heuristics,1381-1231,High Quality,Analytics,
Journal of Scheduling,1094-6136,High Quality,Analytics,
Knowledge-Based Systems,0950-7051,High Quality,Analytics,
Neural Computing and Applications,0941-0643,High Quality,Analytics,
Swarm and Evolutionary Computation,2210-6502,High Quality,Analytics,
Journal of Applied Psychology,0021-9010,Elite,,
Journal of International Business Studies,0047-2506,Elite,,
Business Ethics Quarterly,1052-150X,Top,,
Business History,0007-6791,Top,,
Harvard Business Review,0017-8012,Top,,
Journal of Business Ethics,0167-4544,Top,,
Journal of Business Research,0148-2963,Top,,
Journal of Sport Management,0888-4773,Elite,,
Sport Management Review,1441-3523,Elite,,
European Sport Mangement Quarterly,1618-4742,Top,,
Journal of Applied Sport Psychology,1041-3200,Top,,
Journal of Sports Economics,1527-0025,Top,,
Sociology of Sport Journal,0741-1235,Top,,
Sport Marketing Quarterly,1061-6934,Top,,
Event Management,1525-9951,High Quality,,
International Journal of Event and Festival Management,1758-2954,High Quality,,
International Journal of Sport Management and Marketing,1475-8962,High Quality,,
International Journal of Sports Marketing and Sponsorship,1464-6668,High Quality,,
Journal of Sport and Social Issues,0193-7235,High Quality,,
Academy of Management Learning & Education,1537-260X,Top,,
Issues in Accounting Education,0739-3172,Top,,
Accounting Education: An International Journal,0963-9284,High Quality,,
Accounting Educators' Journal,1041-0392,High Quality,,
Advances in Accounting Education,1085-4622,High Quality,,
British Journal of Education Technology,0007-1013,High Quality,,
Journal of Accounting Education,0748-5751,High Quality,,
Journal of Information Systems Education,1055-3096,High Quality,,
Journal of Management Education,1052-5629,High Quality,,
Journal of Marketing Education,0273-4753,High Quality,,
Management Learning,1350-5076,High Quality,,
Sport Management Education Journal,1938-6974,High Quality,,
Journal of Finance,0022-1082,Elite,,
Journal of Financial and Quantitative Analysis,0022-1090,Elite,,
